dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kills,longest_kill,revives,total_distance,ride_distance,road_kills,swim_distance,vehicle_destroys,time_survived,walk_distance,weapons_acquired,win_place,team_count,map_name,duration
0,0,0,0,0,0,0,0.0,0,0.57,0.38,0,0.0,0,251,0.19,3,16,16,에란겔,1530
0,0,1,26,0,1,0,0.0,0,0.52,0.15,0,0.0,0,487,0.37,6,14,16,미라마,1868
2,1,5,195,0,1,1,0.145,0,4.78,2.34,0,0.0,1,1616,2.44,7,4,16,미라마,1687
1,0,8,164,0,2,1,0.002,0,6.63,4.38,0,0.0,0,1172,2.24,4,4,15,미라마,1628
1,0,6,100,0,1,0,0.0,0,3.23,1.3,0,0.01,0,937,1.92,7,11,15,에란겔,1929
0,0,4,0,0,0,0,0.0,0,3.02,2.35,0,0.0,0,586,0.66,6,10,15,미라마,1750
2,1,5,209,0,7,1,0.013,0,3.49,2.19,0,0.0,0,846,1.29,5,13,17,태이고,1822
1,0,3,126,0,7,0,0.0,0,4.41,3.2,0,0.0,0,1203,1.21,9,11,15,미라마,1711
1,0,1,100,0,5,0,0.0,0,3.42,2.45,0,0.0,0,904,0.98,8,14,16,태이고,1870
1,0,4,100,1,1,2,0.299,0,10.52,8.81,0,0.0,0,1791,1.71,6,4,16,태이고,1887
