dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
0,0,0,0.0,byplayer,0,0,60,0,0,0.0,wanE-66666,account.a1da84acf30d44aa858dc8b347f6f72e,0,0.0,0,0.0,0,266,0,443.58716,3,15,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,443.58716,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,d7f68c29-d1bf-493d-a6ec-03d7feb729c3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,1,0.0,byplayer,0,1,58,0,0,0.0,Alan_GuiLing,account.c5ff96dbf203475dbde361814b4ff6da,0,0.0,0,0.0,0,287,0,175.3178,7,15,178,75697e54-ec2b-41b0-a19e-6a5a766baad4,175.3178,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,d7f68c29-d1bf-493d-a6ec-03d7feb729c3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,2,0.0,byplayer,0,0,53,0,0,0.0,OMG_xiaorouyuan,account.ad9d4ca17cf6421faffa7babd5b07c14,0,0.0,0,0.0,0,636,0,724.6023,5,14,101,75697e54-ec2b-41b0-a19e-6a5a766baad4,724.6023,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,7d231ef7-bcbe-44b7-a5b2-a67380737e39,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,0,51.117,byplayer,0,0,50,0,0,0.0,yiwangershen66,account.b0288732265c4a858b6095c8d9aacd08,0,0.0,0,0.0,0,697,0,865.81604,3,14,100,75697e54-ec2b-41b0-a19e-6a5a766baad4,865.81604,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,7d231ef7-bcbe-44b7-a5b2-a67380737e39,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
0,0,3,24.105461,byplayer,0,1,51,0,0,0.0,ATM-wk5270,account.b8add041ed8e4f6da34d9ce821d5564b,0,3.4801996,0,0.0,0,686,0,954.91766,5,14,186,75697e54-ec2b-41b0-a19e-6a5a766baad4,958.3978596,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,7d231ef7-bcbe-44b7-a5b2-a67380737e39,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
2,0,1,255.76523,byplayer,0,1,49,0,0,0.0,MASERATI-2028,account.a1a4a1635fcc47a5a7594988ab6534c3,1,50.315746,0,0.0,0,711,0,1002.27795,6,14,139,75697e54-ec2b-41b0-a19e-6a5a766baad4,1052.5936960000001,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,7d231ef7-bcbe-44b7-a5b2-a67380737e39,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
4,3,4,603.7982,byplayer,3,2,5,2,5,51.20502,TianWangKeng,account.71fe5bf7400e4fbba8dde76e8c76a949,1,1929.8835,0,0.0,0,1254,0,1642.6053,4,7,249,75697e54-ec2b-41b0-a19e-6a5a766baad4,3572.4888,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,f3121676-0c91-4543-8c25-bf0522fa5eee,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
5,2,9,643.9859,byplayer,1,3,4,2,5,72.670334,IlIlIlII1ilil,account.abe901105b35420baf72b19b53ad0d7c,0,3506.654,0,0.0,0,1350,0,2145.6843,5,7,287,75697e54-ec2b-41b0-a19e-6a5a766baad4,5652.338299999999,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,f3121676-0c91-4543-8c25-bf0522fa5eee,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
2,1,5,212.18988,byplayer,1,3,12,1,2,203.32895,Destinywaker,account.64f568230b0542bda0778e859adcf0e7,1,1742.3704,0,0.0,0,816,0,1162.6078,5,7,289,75697e54-ec2b-41b0-a19e-6a5a766baad4,2904.9782,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,f3121676-0c91-4543-8c25-bf0522fa5eee,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
1,2,9,237.56998,byplayer,1,4,11,1,2,33.217464,Seaz_iiuu,account.23c27723df5f43199089d22ea16c0f52,1,3175.6663,0,0.0,0,1290,0,1651.9833,8,7,357,75697e54-ec2b-41b0-a19e-6a5a766baad4,4827.6496,2023-01-07T14:12:59Z,¿¡¶õ°Ö,1674,f3121676-0c91-4543-8c25-bf0522fa5eee,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/42/90792cc4-8e99-11ed-8e48-ba6650e709e5-telemetry.json
